"Variable","box0","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10","box11","box12","box13","box14","box15","box16","box17","box18","box19","box20","box21","box22","box23","box24","box25"
"48","seabirds2_Nums",0,521.1,345.88,786.42,910.96,957.49,1048.23,1101.76,1130.59,1422.15,380.03,590.75,535.45,557.49,1287.09,1581.7,0,0,1047.82,414.96,1873.93,4029.16,981.45,0,0,0
"49","seabirds3_Nums",0,216.84,143.93,327.25,379.07,398.43,436.2,458.47,470.47,591.79,158.14,245.83,222.81,231.99,535.59,658.18,0,0,436.02,172.68,779.79,1676.63,408.41,0,0,0
"50","seabirds4_Nums",0,90.23,59.89,136.18,157.74,165.8,181.51,190.78,195.77,246.26,65.81,102.29,92.72,96.53,222.87,273.89,0,0,181.44,71.85,324.49,697.69,169.95,0,0,0
"51","seabirds5_Nums",0,37.55,24.92,56.67,65.64,68.99,75.53,79.39,81.47,102.47,27.38,42.57,38.58,40.17,92.74,113.97,0,0,75.5,29.9,135.03,290.32,70.72,0,0,0
"52","seabirds6_Nums",0,15.62,10.37,23.58,27.31,28.71,31.43,33.04,33.9,42.64,11.39,17.71,16.06,16.72,38.59,47.43,0,0,31.42,12.44,56.19,120.81,29.43,0,0,0
"53","piscivorous_sharks1_Nums",0,520994.13,179153.37,686455.43,520994.13,82639.64,179153.37,686455.43,117479.07,325833.81,113100.97,72955.33,0,333283.01,0,459700.7,0,1072634.98,450775.02,218905.74,63140.87,63140.87,396869.72,50657.81,361193.41,0
"54","piscivorous_sharks2_Nums",0,57099.84,19189.77,46048.26,57099.84,40519.79,19189.77,46048.26,55257.91,59459.51,67353.68,19457.34,8771.25,36838.61,0,67537.44,0,38373.55,87395.47,61866.88,19234.71,19234.71,342690.54,28266.8,29236.99,0
"55","piscivorous_sharks3_Nums",0,40882.35,4489.77,0,40882.35,43962.57,4489.77,0,0,3648.63,16808.09,6631.35,4249.82,2582.74,7946.89,0,0,7946.89,3560,3061.25,982.06,982.06,10109.23,12942.84,0,0
"56","piscivorous_sharks4_Nums",0,8822.73,553.03,0,8822.73,8589.33,553.03,0,0,299.34,2397.21,1216.7,1025.9,0,0,1319.01,0,0,659.51,459.52,186.98,186.98,982.79,2031.28,0,0
"57","piscivorous_sharks5_Nums",0,2721.56,64.98,0,2721.56,158.16,64.98,0,0,10.92,182.25,35.63,0,74.68,0,53.34,0,0,0,0,5.5,5.5,0,21.96,0,0
"58","other_sharks1_Nums",0,1335395.16,78527.73,79782.37,1335395.16,619984.79,78527.73,79782.37,251706.71,12391.21,0,30759.12,0,0,127000.5,592669.01,0,158750.63,607292.15,53435.67,141026.93,141026.93,31750.13,37353.09,146151.37,0
"59","other_sharks2_Nums",0,207442,13443.05,7366.72,207442,43161.87,13443.05,7366.72,30301.43,5179.86,8840.06,6489.73,9562.57,0,0,99135.01,0,125234.25,143388.58,10957.56,3619.81,3619.81,3688.83,3536.03,25099.47,0
"60","other_sharks3_Nums",0,10631.15,1436.14,0,10631.15,8231.97,1436.14,0,7662.44,1420.46,0,0,0,0,0,26496.85,0,40371.44,31429.67,2957.85,1766.29,1766.29,0,1699.85,13226.45,0
"61","other_sharks4_Nums",0,8659.15,629.76,0,8659.15,2025.65,629.76,0,0,473.18,899.65,0,0,0,0,2474.04,0,0,2099.19,0,0,0,0,0,0,0
"62","other_sharks5_Nums",0,897.39,60.13,440.98,897.39,143.33,60.13,440.98,1322.93,15.89,0,0,0,0,0,94.5,0,0,0,0,0,0,0,0,0,0
"63","skate_ray1_Nums",0,133083397.18,1655853.22,689856.32,133083397.18,3010141.08,1655853.22,689856.32,3856630.71,15443149.57,5908545.57,613363.98,3243190.44,542521.18,0,4248772.05,0,5724339.67,8220872.12,5157595.24,15228690.97,15540354.26,5180018.38,642312.99,3628498.7,0
"64","skate_ray2_Nums",0,10449472.86,189631.23,0,10449472.86,763526.28,189631.23,0,660401.58,1817347.97,1046961.7,129981.27,630269.86,94344.61,0,1674628.16,0,2069502.03,1159666.93,497979.23,3366536.47,2912675.38,1753529.17,191718.78,613712.84,0
"65","skate_ray3_Nums",0,700667.11,66576.87,0,700667.11,312551.68,66576.87,0,103169.06,96091.09,37908.22,44817.6,21185.33,0,0,622852.56,0,823523.35,251483.69,112917.98,25202.16,25202.16,273457.33,44263.57,175255.48,0
"66","skate_ray4_Nums",0,155440.55,7321.92,0,155440.55,22470.44,7321.92,0,5011.51,2273.53,44576.04,2809.81,0,0,0,47025.27,0,0,12812.46,1959.39,1159.41,1159.41,4774.27,0,27431.41,0
"67","skate_ray5_Nums",0,13778.83,0,0,13778.83,6479.4,0,0,0,1448.55,4819.24,0,0,0,0,0,0,0,14972.34,0,0,0,0,0,0,0
"68","skate_ray6_Nums",0,684.61,112.62,0,684.61,274.6,112.62,0,404.32,47.22,112.31,42.12,0,0,0,2476.44,0,0,449.24,71.31,35.72,35.72,102.2,79.28,398.61,0
"69","cod1_Nums",0,4112939.33,14881782.86,23612734.49,4112939.33,5036867.08,14881782.86,23612734.49,11960106.12,16823753.08,7334488.33,10058472.57,22446816.76,28249448.42,53622111.65,2645775.13,0,1956415.29,4478964.39,6412479.97,23526979.09,26388495.63,88553339.75,101462121.41,1995451.96,0
"70","cod2_Nums",0,1326987.83,2157644.58,7148618.25,1326987.83,2622993.41,2157644.58,7148618.25,5779276.98,2362917.3,1000179.48,684167.87,2381668.7,2601120.74,3128901.83,4518141.6,0,5291154,2488854.25,3804022.09,4271385.23,12012513.42,4361305.66,5119020.8,3031275.33,0
"71","cod3_Nums",0,1951671.02,742306.62,1509340.93,1951671.02,682788.28,742306.62,1509340.93,2015694,610895.39,410941.64,606913.99,830312.61,872436.81,1024119.36,2026121.69,0,2512709.97,1134029.58,1202795.28,1166083.21,2072054.92,1700339.29,1795066.55,1721760.28,0
"72","cod4_Nums",0,270083.84,175264.94,170226.53,270083.84,89383.12,175264.94,170226.53,293309.88,72934,139102.83,68484.63,129696.54,148877.89,331048.32,689784.32,0,379200.8,264777.91,141123.63,214414.11,486407.86,187957.5,206544.94,417691.11,0
"73","cod5_Nums",0,61109,104456.18,57527.93,61109,39552.13,104456.18,57527.93,100311.96,36574.86,72066.51,46503.51,66552.02,58956.04,52379.14,414668.2,0,733307.98,91335.36,73395.61,71230.85,71230.85,74618.74,45104.79,157275.26,0
"74","cod6_Nums",0,92526.77,69323.97,79308.66,92526.77,54624.25,69323.97,79308.66,165520.11,35191.85,89079.19,49606.4,58068.09,78076.2,39654.33,249822.27,0,0,174747.77,41455.87,73329.31,73329.31,75946.27,46459.4,266840.59,0
"75","cod7_Nums",0,0,5313.69,14666.32,0,4673.43,5313.69,14666.32,4111.58,3493.05,11248.41,6368.93,5206.39,9479.83,4190.38,58665.27,0,0,9344.25,3080.09,5236.25,5236.25,8318.5,6094.53,20144.85,0
